ii	30	2	0	612714,616622,523307,573652,543437,549798,544940,519841,523175,542049,525427,527743,555087,586069,558092,515759,524546,531141,564933,520339,555371,537668,532411,559624,539449,521872,537458,536061,594742,539139,534687,537065,522491,532907,526879,533645,530200,534272,542638,575303,531421,523536,520578
ii	30	2	1	697510,715530,722404,539026,552997,562255,524542,556948,570301,531523,539790,541311,588493,539593,528614,546207,527602,559436,565708,544572,537443,524048,524110,525558,546400,550712,547071,571326,526934,527754,535821,527874,533997,524368,531612,532488,522259,538604,534122,552615,534391,520923,529695,519431
ii	30	2	2	731020,718357,826288,573165,581048,608021,543903,531614,527606,579939,604452,524591,529015,532335,522410,523939,527249,544940,523209,528778,527328,524395,532137,539344,543231,534819,526703,538840,525021,540069,526254,540842,519474,530840,521507,528471,525321,626747,536654,523702,520113,522608,532146
ii	30	2	3	612810,558930,571573,571976,592921,540469,536148,547972,531539,538551,549277,539332,527036,527689,519323,518954,525967,526352,526403,526602,544733,530699,516278,522687,523692,534651,527696,531881,558426,517746,531213,530121,551716,527039,521988,519635
ii	30	2	4	637347,630347,604702,621849,570962,531538,609357,619603,623643,548484,540420,524054,554482,531968,551997,546004,539097,524682,525626,543062,518917,522264,521546,535702,522472,519557,524809,542356,602089,561626,594355,632030,532252,518521,526141,524107,520166,518974,570121
ii	30	2	5	588460,593452,559884,524531,567925,536482,533000,531644,522454,518696,524206,524594,525334,530297,532671,541815,523666,555917,524368,518866,526879,517477,528804,528082,525300,518522,520277,531102,529195,529242,529846,533159,542945,523956,539742,527806
ii	30	2	6	624667,682804,629032,519489,532122,522619,519469,550315,528017,535705,526268,557575,623049,590670,607933,526650,555035,562384,583664,524770,671669,590094,548007,531164,548082,639754,739477,603147,624743,620834,527462,531877,545092,571009,538968,532923,527536,522365,522308,529931,522233,527102,530028,531010,520270,519715,522268,523029
ii	30	2	7	749598,761889,582884,519430,533313,536231,534748,525371,539142,531487,523928,522474,554327,578642,626298,546350,528672,578838,522955,565747,518837,523386,528178,554679,521192,525760,540066,559013,540100,582383,533681,520604,531446,522806,522235,519538,516188
ii	30	2	8	644040,626249,603258,534211,528647,532407,527068,544679,539184,549480,524494,520187,521628,531252,520513,525353,570404,524735,528224,525565,531074,530788,540561,530964,535982,523015,523040,530053,527325,527086,529122,539603,542431,525274,526814,535030,527841,525905,529030
ii	30	2	9	709015,676020,679841,644553,674638,569508,540729,550682,540132,532122,558065,546255,544466,526339,559097,528396,556812,548029,556532,563679,675159,650312,549384,520586,525416,552295,565120,533512,552808,528997,551491,532516,524378,549202,526812,523820,527326,519599,535556,519919,540104,523413,522317,557391

