i	1000000	0	358511,354023,753326,333168,328086,332338,327863,322867,721654,725873,330011,324414,739577,385547,728897,322541,322661,322894,397169,811833,830028,824204,329167,334352,326460,734592,332269,331944,731828,729475,396497,748822,737897,341687,349016,727491,724137,743286,355564,336884,322921,325597,343264,326791,747018,335979,740227,720646,723018
i	1000000	1	327367,418299,356608,719752,722662,749474,330766,354100,337750,328383,325872,333282,749703,764077,330367,345321,335283,342836,747894,772141,321990,352858,319610,724397,327148,744868,724859,804073,727107,724766,319603,736594,375242,723620,326751,333684,338997,732537,727334,323009,324271,726923,738982,320285
i	1000000	2	405134,392601,834442,834478,727381,355633,332580,756391,734757,755301,332673,740064,735481,763378,323756,732229,335868,323208,744205,718619,724158,763843,738554,730003,732340,329645,325250,730164,335329,331094,339885,322829,746337,332615,741273,322772,740950,328039,394238,732662,324589,723835,321124,736433,750029,367667,759021,719681,715691,326561,725938,319783,384188
i	1000000	3	367205,746230,319431,739895,326287,781236,798748,348835,379684,774626,726510,319340,768579,378690,331384,340897,320913,336955,334994,730200,726463,342703,341053,744124,736714,334105,721723,318658,748994,742005,719000,726792,730453,722960,722089,730042,353969,330434,319298,741072,349652,733057,320253,735372,331236,759524,731016,735159
i	1000000	4	892840,322216,890122,759238,787387,784500,373992,330208,768902,764601,751493,804318,734902,722073,727740,724702,346984,727904,811003,722613,731807,336404,343351,744223,330016,732710,338588,718205,341472,339029,319833,740824,740569,340459,323166,743992,720008,737049,761223,376458,338786,720232,327557,399667
i	1000000	5	341005,342569,411598,757664,334640,319534,722378,730856,741960,735166,319160,324647,327363,353424,323471,743010,760972,740870,766098,718655,736081,724703,753397,726337,345957,326890,324780,732235,742150,360077,742381,333537,762150,819948,735671,734106,754640,743227,777374,373603,325462,780937,752324
i	1000000	6	370711,837533,832882,793004,747898,724722,343079,334741,728550,727256,751913,370027,728606,724516,328304,357758,725146,731032,328590,327109,739376,741096,327633,756676,742266,338763,754838,730340,749055,334715,338628,337208,320437,779964,403401,800098,331495,730171,336450,363474,322909,729638,719513,321486,327149,319016,723956,722264,730325
i	1000000	7	369204,758140,781737,355679,440876,462959,807189,733249,755590,332011,732311,963403,885860,895773,778924,400620,829738,831462,804550,344631,382670,343366,795340,785005,327657,725168,431511,805645,342203,844849,738238,328305,393332,455199,838655,322567,749735,330569,726471,345475,723537,738332,716809,325089,331955,742281,319009,324590,718232,742206,731264,719154
i	1000000	8	332198,547494,590851,887298,815418,362916,319619,726774,742892,337269,744072,727120,325587,768096,336039,755198,322020,353169,327299,762922,783260,794914,380346,523360,490209,356329,375505,766265,351299,325538,740927,722476,344100,359153,757540,723025,327019,736000,327202,720584,354875,318942,321939,340172,731221
i	1000000	9	325531,737441,330949,723950,738031,718420,350069,328271,319912,763742,741837,375107,331947,315294,325376,321158,747196,736257,743913,755749,364358,363182,327588,759460,742228,732083,349618,722565,322887,735174,326902,338315,738282,722765,724116,322281,734031,754769,731240,757765,726019,723048,340527,328377,324103,318998,330432
i	1200000	0	318249,763013,371552,343827,732509,734755,358896,729367,723971,326117,326818,332172,342468,752573,330022,352348,353438,326731,325761,376390,728580,330531,721885,725480,355582,340260,336445,333376,747634,358715,747264,723405,347686,345833,752753,339532,345852,322392,756146,333519,738144,734508,727556,760009,718589,329581
i	1200000	1	404934,745073,719975,735398,346600,351053,744514,319506,724665,753962,744288,719664,736143,329604,765205,755398,348134,342185,335515,721337,724390,354645,382127,761990,334620,724449,748663,326403,353352,761763,737000,735652,319608,324496,722977,730823,731301,410662,427388,377308,743159,739186,729613,361941,722692,723464
i	1200000	2	405935,396633,323300,724019,335483,348850,368379,334498,734293,730067,339033,744968,771378,723810,340674,723688,334886,731078,723443,731806,727247,722538,327824,332233,724197,734019,727365,734610,324790,345700,319535,325292,726830,725741,336318,715433,762541,726806,731817,755372,739900,723199,319284
i	1200000	3	353742,355030,740936,362136,384539,334974,959851,751211,771630,360570,455143,895404,837876,334076,730973,386435,735804,732507,329071,337852,760161,770319,739459,723501,383582,336787,399228,452098,774988,330526,319851,329608,734104,384044,404282,848777,327700,765612,731953,745699,736527,733112,323090,331540,323810
i	1200000	4	324921,345056,433024,893311,730282,354602,361951,356813,419460,351351,793729,414662,444031,731777,381209,327642,795539,326981,320062,728224,343794,372996,335596,762673,331874,483070,867268,889556,759693,338527,723452,756012,327855,331356,736127,322708,724700,732713,367820,342335,327590
i	1200000	5	740029,751770,775904,362255,346000,776558,804106,318578,377971,731897,346994,323993,746733,739157,342296,325539,329780,748569,747819,724140,727592,344832,319004,892343,781170,337180,729166,320274,325076,347980,325289,339748,330514,723153,320974,742135,726001,736008,725941,725632,321934,333018
i	1200000	6	341883,728659,781652,734630,735164,332331,347259,748918,384765,318819,752766,350202,352500,746969,726569,330987,741856,339923,762752,733083,737670,350126,790700,334948,730475,359834,756245,364456,369009,722946,772286,327029,733793,739336,723629,318041,743469,339677,334516,740600,751326,752832,339427,333097,341927,341510,356612,369269,731374
i	1200000	7	324618,332693,337188,496567,496500,860999,474343,370664,883684,343780,340538,326048,747308,747461,337928,332393,744919,333484,338857,339220,744212,317257,755559,723360,795328,742329,763375,762756,754960,812131,541498,798263,882570,604488,546422,875854,974529,347166,344641,727556,739053,738939,353244,739131,328412
i	1200000	8	349194,374212,723732,321371,741279,731114,727452,360210,826355,719560,723699,716208,336217,764990,325808,736160,327720,756221,734466,340517,336450,329659,320298,372375,325247,755230,326315,324632,738242,728237,726038,733824,728539,726835,732353,718117,736288,720059,323134,736112,729241,727364,354613,332487,357235,343153,761273,331860,368704,728760
i	1200000	9	725199,727122,323349,352906,331487,736106,319239,727918,326880,349386,332031,330907,360153,769029,732106,727246,745899,331555,396392,360864,735294,727328,719353,367527,728460,338790,358431,385475,738628,441608,329380,743612,778373,722818,762724,353413,351663,340177,720359,724776
