i	1000000	0	734115,339045,752299,735792,757079,326911,327475,722124,731884,729181,339303,742279,334714,722596,723151,318743,719606,327445,329806,756087,330348,320083,743324,755799,325835,369075,729544,746114,743082,746252,333623,756362,727584,736639,408328,459100,831492,726589,734882,754812,347470,755170,322888,324124,739325,319452,322556,319466,360440,719008,724464,335101,723033,735564
i	1000000	1	422699,381857,813571,731090,740975,723759,319264,723578,719719,335488,727505,335002,319879,723833,332621,329972,368717,323463,740506,726837,332735,334977,727962,327876,718565,335994,344472,738559,723260,752179,723186,350485,723614,327373,339808,729493,336300,359928,757366,783310,723952,720049,330157,327134,327940,743232,346482,732481,324420,720565,326872,727541,343360,721831,719253
i	1000000	2	886182,322357,318338,335046,337739,731002,731905,746090,728234,333909,359586,329523,324671,735700,339008,741195,359859,771179,747502,734429,723833,719672,330699,350045,727484,327587,736933,334988,319648,727574,730765,801820,739498,739807,322608,322718,334158,344194,320667,726683,374096,319274,728393,324467
i	1000000	3	371348,764476,727447,323965,764733,754557,340916,505865,538001,438135,844248,340642,736430,798118,351277,328208,333628,743915,746626,748600,356239,368714,356296,747259,748477,342446,724333,363811,728347,726844,329812,327888,323171,724079,346364,412671,344001,326867,769913,328585,355278,352414,719594,328126,324528,741288,339510,341943,771559,331632,331692,319630
i	1000000	4	327731,374511,736766,406214,723479,744481,326265,372401,802605,747450,326619,347626,333643,332440,739295,332159,324934,732041,319482,330523,352797,740157,738618,347448,752959,727205,723041,752274,332396,332622,323191,753631,328893,354614,719960,718918,730614,728539,726886,731802,721616,345701,730687,747623,761440,756894,717343,322907,323216,729300
i	1000000	5	737484,358158,395489,395186,460588,319345,334682,326529,363740,742810,724562,740267,754428,334217,388407,321292,816060,778433,339882,344858,730668,329160,740758,329689,753186,726626,718902,347050,749579,367563,732197,743622,330952,723120,335171,326301,727633,335866,367492,726222,323703,327803,335913,347723,742772,724073,721764,721008,719545,721206,718161,339678,324000
i	1000000	6	728050,748067,770735,326750,745088,753580,732059,723580,320895,724914,736798,336168,742901,322764,744223,336728,322921,723495,790883,788450,338523,726329,319507,735798,357974,749993,342460,731057,325250,356498,376673,734228,327904,407638,333687,796658,730058,334757,742270,832980,489954,326524,380446,358411,758826,735884,342559,719438,738279,319549
i	1000000	7	331276,383656,338694,337680,752581,328115,327885,738525,329422,724217,324234,332488,727420,723770,740796,325777,331358,342688,333221,744568,728366,770488,328841,321946,323022,353581,323212,345232,730400,351798,331550,355675,735375,411408,763236,723886,363417,346115,325642,341662,392457,731482,765069,322094,335870,750506,731086,718345,737091,719364
i	1000000	8	420002,830577,855890,738330,339245,332859,741911,326663,361152,326054,347081,328623,726526,726748,724394,330191,727253,731695,330570,330863,722941,727471,340067,745372,327326,743126,751405,343276,346378,765738,327231,319196,735183,726467,373933,334786,351241,794735,338864,329749,346800,336370,330634,334957,725035,725723,341316,325815,327620,727193,319767,322219
i	1000000	9	720942,337822,323000,325612,749960,766455,727222,735469,356913,338908,747887,323705,760272,326597,724855,350312,427613,418046,857683,759442,717461,719489,347345,323565,336633,339790,327572,747272,734091,333536,735066,735913,326409,734889,732226,363008,347408,432808,419719,447224,323214,741894,325720,338125,725970,348442,326495,366429,328075,740192,773820,330859,728299,339170,726416,337434
i	1200000	0	433438,453538,423072,857203,343102,348693,419530,390987,389188,761438,336171,752157,721523,745126,355227,738124,371882,314264,749212,736389,331818,334801,730376,327188,342042,349165,782989,755411,740039,330631,745971,364254,328072,752621,380351,390305,802951,339767,332717,319334,732626,330536,339161,326331,368299,741036,740904,342300,737463,324549,334054,329910,323058,758671,731751,327996,331479,740737
i	1200000	1	383699,909978,323989,727420,345023,399294,362542,794307,451011,336796,329401,737978,723569,727309,372501,339249,728566,325049,743366,762350,337927,742648,344633,326310,763597,328719,737954,340756,344749,344719,322082,389684,422026,449533,771423,337952,725537,719387,767737,726692,718848,328395,344296,752202,329576,739124,736008,375312,379631,320133
i	1200000	2	355769,734454,748801,723669,330837,326713,739653,326928,768657,340679,325645,742238,328770,791969,769595,362313,384253,390803,723290,372045,795888,729876,360529,330980,720523,809464,833452,728350,326696,340819,342952,327727,752108,726833,742219,768940,322635,729216,323238,352732,757441,321187,325369,346296,331313,349320,722877,719844,726268,744707,720600,367701,324469,355583
i	1200000	3	348894,380600,396911,336049,772010,735108,730719,735323,770966,384072,401801,330814,329754,742691,328164,323695,762273,791674,735294,401735,327168,806821,719557,741607,330386,330810,725816,344800,328715,734118,483307,491787,466948,342149,893692,414299,374519,325278,757203,742890,338065,319230,748188,764357,730237,325261,747706,323085,316688,723446
i	1200000	4	374787,366151,774523,332187,746157,328294,743639,750695,764567,361038,743523,330623,393807,376915,341691,453544,378401,777593,850923,335222,334370,731909,735541,723008,366200,731368,347473,762875,759649,365474,348756,760310,802575,327392,428881,326946,845189,347835,741850,333219,741200,335532,340845,743771,328298,352337,729142,750515,750120,405852,409224,336972,764289,329769,748536,750546,755879,337732,337873,734954
i	1200000	5	406528,802842,790537,332771,379799,334279,717576,319988,723396,333789,755953,354488,752734,356188,323793,730709,728849,362090,748371,727200,730836,391372,762470,726585,725211,322304,323588,726196,727822,352711,750259,351176,389453,419293,719864,720669,728448,339418,727379,328574,746712,746398,722677,722511,742045,322301,731594,332134,351154,322827,723495
i	1200000	6	388097,378956,772500,346885,730392,329617,332407,753896,752488,345860,747834,357057,827638,330826,323474,744074,367251,368485,326032,746374,382575,744181,741893,322466,344983,347399,391177,324322,349927,755344,335110,341100,743373,731645,328143,334934,322897,746475,723025,411068,743813,722922,725432,724285,334904,340010,723540,730335,738875
i	1200000	7	325682,781956,840043,879965,903374,397977,776084,780680,730596,760266,340002,327799,747626,733182,803872,809874,360762,738865,817320,327884,744831,517244,355263,934593,797327,784829,755466,491630,328155,787346,734962,320023,727445,338602,723010,318612,816415,1055660,740103,441075,413101,816522,378191,745848,735673,724126,734784
i	1200000	8	452017,452300,339976,854212,352498,378120,345114,329347,728797,749472,723966,377731,394777,401691,331197,835862,376939,334193,753020,414609,331012,744313,340796,732780,341796,722075,335389,756169,346785,357836,349851,727220,734122,323020,742303,335064,368917,340958,328829,403444,732761,325977,527633,458167,411199,427180,385457,759968,323018,328824,743556,726803,726445,320338
i	1200000	9	412365,842197,853891,333263,380455,343055,762244,731770,747924,764822,745317,737597,726477,351714,753094,342045,345953,346208,333149,755584,398514,388254,879690,337221,722999,730972,330592,719090,742932,347265,731175,367608,732441,782371,355907,324689,754510,339554,336501,752963,341889,360380,329159,444851,438934,790290,736934,336068,326285,724021,337284,334948,732861,366998,727202
